author_cell_type	CL_label	CL_ID	reference	dataset_version
OMCD-IC-A	kidney collecting duct intercalated cell	CL:1001432		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
tPC-IC	kidney collecting duct intercalated cell	CL:1001432		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
N	neutrophil	CL:0000775		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
VSMC	renal interstitial pericyte	CL:1001318		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dATL	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
cycCNT	kidney connecting tubule epithelial cell	CL:1000768		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
cycDCT	kidney distal convoluted tubule epithelial cell	CL:1000849		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
SC/NEU	neural cell	CL:0002319		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dVSMC	renal interstitial pericyte	CL:1001318		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
cycMYOF	kidney interstitial fibroblast	CL:1000692		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
REN	renal interstitial pericyte	CL:1001318		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
M-FIB	kidney interstitial fibroblast	CL:1000692		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
IMCD	kidney collecting duct principal cell	CL:1001431		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dEC-PTC	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
OMCD-PC	kidney collecting duct principal cell	CL:1001431		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
cycEC	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dDTL3	kidney loop of Henle thin descending limb epithelial cell	CL:1001111		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
DTL3	kidney loop of Henle thin descending limb epithelial cell	CL:1001111		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dM-FIB	kidney interstitial fibroblast	CL:1000692		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dEC	endothelial cell	CL:0000115		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
dC-TAL	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106		https://datasets.cellxgene.cziscience.com/112a469f-6838-49f9-9f96-470744e79e8d.h5ad
